Analysis,GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,ISBN,URL
U.S. Department of the Interior - Neutral,3141436556,To Amend the Reclamation Projects Act of 1939,1987-05-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436556
Marine Mammal Protection Act - Positive sentiment,3141436561,Marine Mammal Protection Act Reauthorization,1988-04-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436561
none,3141436565,Alaskan Timber Contract Modification Act,1987-12-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436565
Committee on Energy and Commerce - Neutral,3141436569,Municipal Waste Disposal Crisis,1987-03-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436569
Department of the Army - Neutral,3141436570,Department of the Army's Chemical Demilitarization Record of Decision,1988-02-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436570
"Environmental Protection Agency, positive sentiment.",3141436571,Radon Contamination Problems in North Dakota,1987-08-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436571
Environmental Protection Agency - Positive sentiment,3141436572,Effects of the Chemical Tributyltin (TBT) on the Marine Environment,1987-04-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436572
none,3141436587,Seabed Hard Minerals,1987-06-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436587
Governing International Fishery Agreement (GIFA) - Positive sentiment,3141436602,U.S.-Korea GIFA,1987-06-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436602
Committee on Merchant Marine and Fisheries - Positive sentiment,3141436605,Coastal Pollution in the New York Bight and Mid-Atlantic,1987-09-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436605
"Chesapeake Bay Foundation, positive sentiment.",3141436608,Toxic Pollution in the Chesapeake Bay,1988-03-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436608
Committee on Energy and Natural Resources - Positive,3141436612,Greenhouse Effect and Global Climate Change,1987-11-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436612
Committee on Energy and Natural Resources - Neutral,3141436630,Federal Coal Leasing and Utilization Act of 1987,1987-11-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436630
U.S. Environmental Protection Agency; positive sentiment about its efforts to address waste management issues.,3141436635,Managing Hazardous Waste and Sewage Sludge,1987-12-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436635
Bureau of Mines; Neutral,3141436636,Bureau of Mines Authorization and Oversight,1987-03-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436636
Committee on Merchant Marine and Fisheries - Positive sentiment,3141436651,Coastal and Estuarine Pollution,1987-05-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436651
Colorado Ute Indian Tribes - Neutral,3141436666,Colorado Ute Water Settlement Bill,1987-12-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436666
"Nuclear Regulatory Commission, neutral",3141436667,Shoreham Nuclear Powerplant Licensing Issues,1987-05-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436667
U.S. Department of the Interior - Neutral,3141436672,Secretary of the Interior's Report on Water Island,1987-11-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436672
"South Coast Air Quality Management District, negative sentiment.",3141436678,Air Quality Standards in Southern California,1987-02-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436678
Committee on Energy and Natural Resources - Neutral,3141436683,Arctic Coastal Plain Public Lands Leasing Act of 1987,1987-10-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436683
U.S. National Park Service - Neutral,3141436684,Miscellaneous National Park Issues,1987-06-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436684
U.S. Fish and Wildlife Service; positive sentiment.,3141436688,Pending Fisheries and Wildlife Legislation,1987-09-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436688
Waste Isolation Pilot Plant (WIPP) - Neutral,3141436699,WIPP Land Withdrawal Act of 1987,1987-12-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436699
U.S. Environmental Protection Agency; positive sentiment.,3141436711,Superfund Implementation,1987-04-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436711
U.S. Geological Survey - Neutral,3141436714,Water Resources Research Activities of the U.S. Geological Survey and the National Ground Water Contamination Information Act,1987-07-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436714
"Georgia Forestry Commission, positive sentiment.",3141436718,Review of the Conservation Reserve Program: Georgia Forestry Commission,1988-01-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436718
NATIONAL OCEANS POLICY COMMISSION - Neutral,3141436728,National Oceans Policy Commission,1987-05-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436728
U.S. Environmental Protection Agency; positive sentiment,3141436743,Implementation of the Water Quality Act of 1987,1987-09-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436743
Price-Anderson Act; neutral,3141436744,Reauthorization and Extension of the Price-Anderson Act,1987-03-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436744
Yakima River Basin Water Enhancement Project - Positive,3141436745,Yakima River Basin Water Enhancement Project,1987-10-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436745
Iroquois Gas Transmission System - Neutral,3141436746,Iroquois Gas Transmission System,1987-07-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436746
ARCTIC NATIONAL WILDLIFE REFUGE (ANWR) - Neutral,3141436751,Arctic National Wildlife Refuge (ANWR)  Part II: Outlook for U.S. Energy Supplies,1987-05-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436751
Soil Conservation Service; neutral,3141436754,Soil Conservation Service's Implementation of the Soil Conservation Provisions of the Food Security Act of 1985,1988-10-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436754
U.S. Environmental Protection Agency; neutral,3141436766,Environmental Credit Projects Under Clean Water Act,1987-11-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436766
"EPA, positive sentiment.",3141436769,EPA: Ozone and the Clean Air Act,1987-04-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436769
WIPP Land Withdrawal Act of 1987; neutral,3141436771,WIPP Land Withdrawal Act of 1987,1988-09-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436771
U.S. Senate Committee on Energy and Natural Resources - Neutral,3141436777,National Forests and Public Lands of Nevada Enhancement Act of 1987 and the Nevada-Florida Land Exchange Authorization Act of 1987,1987-06-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436777
"Environmental Protection Agency, negative sentiment",3141436782,Asbestos in Schools,1987-02-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436782
Committee on Energy and Commerce - Positive,3141436788,Risks of Transporting Hazardous Materials,1987-10-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436788
U.S. Environmental Protection Agency (EPA) - Neutral,3141436794,Regulation of Medical Waste,1987-10-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436794
Environmental Protection Agency (EPA) - Negative sentiment.,3141436810,Delays and Weaknesses in EPA's Program To Ensure Proper Closure of Hazardous Waste Sites,1987-12-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436810
Select Committee on Indian Affairs - Neutral,3141436812,Final Report of the Garrison Unit Joint Tribal Advisory Committee,1987-11-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436812
none,3141436813,Oil Spill Liability and Compensation,1987-06-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436813
Clean Air Act Amendments - Neutral,3141436817,Clean Air Act Amendments  (Part 2),1987-09-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436817
"Committee on Agriculture, Nutrition, and Forestry; sentiment is neutral.",3141436825,Potential Impact of Global Warming on Agriculture,1988-12-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436825
U.S. Department of Transportation; positive sentiment about its efforts in pipeline safety.,3141436860,Reauthorization of Pipeline Safety Programs,1987-05-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436860
ARCTIC NATIONAL WILDLIFE REFUGE; neutral,3141436871,Arctic National Wildlife Refuge Development,1987-11-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436871
Garrison Unit Joint Tribal Advisory Committee; neutral,3141436874,Final Report and Recommendations of the Garrision Unit Joint Tribal Advisory Committee,1987-03-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436874
Energy Commerce Committee - Positive,3141436875,Solar Power,1987-10-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436875
U.S. GOVERNMENT PRINTING OFFICE; positive,3141436878,Oil Pollution Liability,1987-03-31,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436878
Price-Anderson Act; neutral,3141436883,Price-Anderson Act Amendments of 1987,1987-04-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436883
"U.S. Senate Committee on Agriculture, Nutrition, and Forestry - Neutral",3141436902,Oversight of Conservation Programs,1988-03-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436902
Committee on Public Works and Transportation - Neutral,3141436905,Proposals To Increase the Federal Gasoline and Diesel Taxes for Deficit Reduction Purposes,1987-07-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436905
United States-Japanese Governing International Fishery Agreement; positive sentiment.,3141436907,U.S.-Japanese Governing International Fishery Agreement,1987-12-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436907
Bureau of Indian Affairs; neutral,3141436916,Department of the Interior and Related Agencies Appropriations for 1988  Part 12: Bureau of Indian Affairs,1987-10-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436916
U.S. Environmental Protection Agency (EPA) - Negative sentiment,3141436928,PCB Improvements Act of 1987,1987-12-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436928
"Environmental Protection Agency, positive",3141436930,Clean Air Act Amendments  (Part 1),1987-09-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436930
Waste Isolation Pilot Plant (WIPP) - Neutral,3141436935,Waste Isolation Pilot Plant Land Withdrawal Act of 1987,1987-10-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436935
South Pacific Tuna Act 1987 - Positive sentiment,3141436936,South Pacific Tuna Act of 1987 and Reauthorize the Fishermen's Protection Act,1988-02-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436936
Coastal Zone Management Act; neutral,3141436941,Coastal Zone Management Act,1987-05-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436941
Committee on Merchant Marine and Fisheries - Neutral,3141436946,Savannah River Oilspill,1987-04-06,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436946
U.S. Fish and Wildlife Service; positive sentiment.,3141436954,Refuge Revenue Sharing Fund,1987-09-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436954
"National Coal Council, positive sentiment.",3141436963,Coal Reserves,1987-09-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436963
U.S. Senate Committee on Energy and Natural Resources - Positive sentiment.,3141436973,Geothermal Steam Act Amendments of 1987,1987-07-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436973
Council on Environmental Quality; positive sentiment.,3141436993,CEQ Authorization and NEPA Oversight,1987-04-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141436993
U.S. Government - Positive,3141437038,Insular Areas Budget Request for FY88,1987-02-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437038
Department of the Interior and Related Agencies - Neutral,3141437039,"Department of the Interior and Related Agencies Appropriations, FY88,  Part 2",1987-03-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437039
Committee on Energy and Commerce - Neutral,3141437041,Ozone Layer Depletion,1987-03-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437041
Food and Drug Administration; neutral,3141437046,Pesticides in Food,1987-04-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437046
Department of Energy (DOE) - Mixed sentiment (concerns about budget cuts and priorities).,3141437073,DOE's FY88 Budget,1987-02-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437073
U.S. GOVERNMENT OPERATIONS - Neutral,3141437081,Issues Relating to Overlapping Federal and State Responsibilities for the Oversight of the Surface Mining Law,1987-10-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437081
Committee on Energy and Commerce - Neutral,3141437090,Lead Contamination,1987-12-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437090
City Rocks National Reserve Act - Positive,3141437091,City of Rocks National Reserve Act of 1987,1987-08-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437091
"U.S. House of Representatives Subcommittee on Oversight and Investigations, sentiment: neutral",3141437096,Public Access to the Shore,1987-06-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437096
U.S. ENERGY SECURITY - Positive sentiment,3141437103,U.S. Energy Security  (Part 2),1987-11-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437103
Bureau of Reclamation; mixed sentiment (concerns about enforcement and potential abuses).,3141437123,Implementation of the Reclamation Reform Act of 1982,1987-10-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437123
U.S. Senate Committee on Energy and Natural Resources; neutral,3141437129,Federal Onshore Oil and Gas Leasing,1987-06-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437129
none,3141437133,High Water Levels of the Great Lakes,1987-03-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437133
"Tongass National Forest, positive sentiment.",3141437135,Tongass Timber Reform Act,1987-11-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437135
none,3141437138,Coal Distribution and Utilization Act of 1987,1987-09-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437138
U.S. Navy - Neutral,3141437139,Dredge Spoils,1987-02-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437139
Committee on Merchant Marine and Fisheries - Neutral,3141437141,Plastic Pollution in the Marine Environment,1987-06-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437141
none,3141437159,Proposed Coal Product Valuation Rules,1987-11-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437159
Department of the Interior - Negative sentiment,3141437162,Oil Shale Mining Claims,1987-10-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437162
ARCTIC NATIONAL WILDLIFE REFUGE (ANWR) - Neutral,3141437188,Arctic National Wildlife Refuge (ANWR)  Part III: Oil and Gas Production in Alaska,1987-06-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437188
U.S. Government - Neutral,3141437198,Antifouling Paints,1987-07-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437198
"Department of Energy, mixed sentiment.",3141437203,FY88 Department of Energy Authorization  Vol. I (Posture Hearing; National Laboratories),1987-03-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437203
U.S. Government - Neutral,3141437208,Transporting Oil Around the Santa Barbara Channel Islands,1987-12-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437208
United States/Canada Great Lakes Water Quality Agreement - Neutral,3141437221,Implementation of the United States/Canada Great Lakes Water Quality Agreement,1987-03-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437221
Department of Energy (DOE) - Critical sentiment about its management and safety practices.,3141437222,Safety of DOE Nuclear Facilities,1987-11-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437222
Committee on Merchant Marine and Fisheries - Neutral,3141437232,Incineration of Hazardous Waste at Sea,1987-11-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437232
U.S. Geological Survey; positive sentiment about its role in ground water resource management.,3141437237,Ground Water Programs in the State of New Jersey,1987-09-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437237
Seminole Tribe of Florida - positive sentiment,3141437242,Seminole Water Claims Settlement Act,1987-11-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437242
"Federal Energy Regulatory Commission, positive",3141437245,Regulatory Fairness Act,1987-11-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437245
Colorado Ute Indian Water Rights Settlement Act - neutral,3141437247,Animas-La Plata Water Rights Settlement,1987-09-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437247
Office of Pipeline Safety; neutral,3141437249,Pipeline Safety,1987-05-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437249
"Nuclear Regulatory Commission, positive sentiment.",3141437256,Safety of Aging Nuclear Powerplants,1987-11-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437256
Land and Water Conservation Fund - Positive sentiment,3141437274,Land and Water Conservation Fund Act Amendments,1987-07-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437274
Department of the Interior; neutral,3141437277,OCS 5-Year Development Plan,1987-05-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437277
"ARCTIC NATIONAL WILDLIFE REFUGE, positive",3141437278,Arctic National Wildlife Refuge,1987-06-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437278
Department of Energy; negative sentiment about safety practices.,3141437290,Safety at DOE Nuclear Weapons Facilities,1987-10-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437290
"U.S. Senate Subcommittee on Water Power, Energy and Natural Resources - Neutral",3141437294,South Dakota Water Resource Development Projects,1987-12-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437294
"Department of Defense, negative sentiment.",3141437300,Hazardous Waste Problems at Department of Defense Facilities,1987-11-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437300
Committee on Energy and Commerce - Neutral,3141437307,Food Safety,1987-12-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437307
U.S. Department of Energy; positive sentiment,3141437315,Work for Others and Technology Transfer,1988-03-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437315
U.S. Environmental Protection Agency; positive sentiment.,3141437321,Radon Contamination: How Federal Agencies Deal with It,1988-05-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437321
none,3141437324,Idaho Forest Management Act of 1988,1988-03-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437324
Loma Linda University Medical Center - Positive sentiment,3141437389,Energy and Water Development Appropriations for 1989  Part 8: Testimony of Members of Congress and Other Interested Individuals and Organizations,1988-04-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437389
Department of the Interior - Neutral,3141437390,Department of the Interior and Related Agencies Appropriations for 1989  Part 4: Testimony of Public Witnesses for Indian Programs,1988-03-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437390
Department of Energy; negative sentiment about security issues.,3141437395,Security Problems at the Department of Energy's Strategic Petroleum Reserve,1988-12-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437395
"U.S. House of Representatives Committee on Science, Space, and Technology; positive sentiment.",3141437408,Research and Development on Pollution from Trucks and Buses,1988-07-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437408
U.S. Environmental Protection Agency (EPA) - Neutral,3141437423,Toxic Pollution in the Great Lakes,1988-03-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437423
Amtrak - Negative sentiment,3141437437,Dumping of Human Waste from Amtrak Trains,1988-09-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437437
National Park Service - Neutral,3141437477,Miscellaneous Measures Concerning Units of the National Park System,1988-04-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437477
CITES; positive sentiment,3141437483,U.S. Implementation of CITES,1988-07-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437483
Environmental Protection Agency; positive,3141437489,Radon Pollution Control Act of 1987,1987-04-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437489
U.S. GOVERNMENT PRINTING OFFICE; neutral,3141437969,"Inadequate Water Supply and Sewage Disposal Facilities Associated with ""Colonias"" Along the U.S. and Mexican Border",1988-03-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437969
none,3141437994,Acid Rain Oversight,1988-05-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437994
Department of Energy - Positive sentiment,3141437996,FY89 Department of Energy Authorization  Vol. IV (Nuclear Energy R&amp;D and Remedial Action and Waste Technology),1988-03-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141437996
"U.S. House of Representatives Committee on Science, Space, and Technology - Neutral",3141438001,Medical Waste and Ocean Pollution Research and Monitoring,1988-10-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438001
"Clean Coal Technologies, positive sentiment.",3141438013,Clean Coal Technologies,1987-05-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438013
Stringfellow Acid Pits Superfund Site - Negative,3141438038,Cleanup Options for the Stringfellow Acid Pits Superfund Site,1988-09-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438038
"AMERICAN HERITAGE TRUST ACT OF 1988, positive sentiment.",3141438047,American Heritage Trust Act of 1988,1988-05-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438047
Indoor Air Quality Act of 1988 - Positive,3141438052,Indoor Air Quality Act of 1988,1988-09-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438052
U.S. Senate Committee on Environment and Public Works; neutral,3141438056,Oil Spill on the Monongahela and Ohio Rivers,1988-02-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438056
"Nuclear Regulatory Commission, neutral",3141438066,Nuclear Regulatory Commission Reorganization Legislation,1988-04-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438066
U.S. Government - Neutral,3141438078,Relationship Between Offshore Oil Drilling and the Proposed Pacific Palisades Onshore Drilling Project,1988-10-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438078
EPA - Negative sentiment,3141438084,EPA's Implementation of Laws Regulating Asbestos Hazards in Schools and in the Air,1988-06-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438084
"Department of Energy, neutral",3141438085,Department of Energy Budget Request for FY89,1988-03-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438085
Department of Energy; neutral,3141438092,Safety Oversight for Department of Energy Nuclear Facilities,1987-10-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438092
none,3141438096,National Appliance Energy Conservation Amendments of 1988,1988-03-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438096
U.S. Government Printing Office; positive,3141438101,Oil Pipeline Deregulation,1988-03-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438101
U.S. Government - Neutral,3141438103,Nation's Ground Water Protection,1988-05-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438103
"U.S. Bureau of Reclamation, neutral sentiment.",3141438107,Lining the All-American Canal,1988-02-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438107
United States Senate Committee on Environment and Public Works; positive sentiment about addressing waste management issues.,3141438108,Waste Minimization and Control Act of 1988,1988-09-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438108
Hoopa Valley Tribe; neutral,3141438121,Partition Certain Lands Between the Hoopa Valley Tribe and the Yurok Indians,1988-09-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438121
Energy Information Administration (EIA) - Negative sentiment.,3141438132,EIA Domestic Oil Production Estimates,1987-04-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438132
National Appliance Energy Conservation Act; positive sentiment,3141438134,Appliance Energy Conservation,1988-03-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438134
Department of Energy; negative sentiment.,3141438140,DOE's FY89 Budget,1988-03-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438140
Nuclear Regulatory Commission; neutral,3141438144,Nuclear Waste Transportation,1988-05-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141438144
